species_id	species_name	group	include	representative	input_kind	assembly_accession	assembly_level	annotation_version	coordinate_system	genome	genome_sha256	gff3	gff3_sha256	protein	protein_sha256	cds	cds_sha256	source_uri	outgroup_species_id	notes
GJ_GP523	GP523 (taxon unresolved)	GJ	true	true	assembled_genome		chromosome		GP523/GWHESMI	data/GJ_GP523/GP523.fa.gz	a6ad18245f159e9d683269c63a862bd5b595a2e928444547d5074f671c6bd2df	data/GJ_GP523/GP523.gff3.gz	d90100de2f9eb030e403187712f7c0905d0d4e3e74c414294d296b45b7240890	data/GJ_GP523/GP523_pep.fa.gz	e6b2640fee6a30346c3cdf4d1484a1b46b86723f8ccf305b87adcc34a0d79f69	data/GJ_GP523/GP523_cds.fa.gz	6b8a68dd36f46d9a73750192238fc4910f7b4c6660f1ab991ea8d6a3a7f59cc6	USER_DRIVE_URL_NOT_COMMITTED		Taxon, formal assembly accession and annotation version require user metadata.
Wild_GP543	GP543 (taxon unresolved)	Wild	true	false	assembled_genome		chromosome		GP543 native	data/Wild_GP543/GP543.fa.gz	6b47fa163796c3f0301f05ff69b1af8822aeeb12fa2f9a88439946a0442b68a6	data/Wild_GP543/GP543.gff3.gz	57f47a793ce5373e614a5a643a4171f0dbdcd4ed9d9a6b3f8edf230d40f4f637	data/Wild_GP543/GP543_pep.fa.gz	d9db20b8cd273a570aa80fa89d4f1fbe6e1a85d154ac179cebb8b05072deeb71	data/Wild_GP543/GP543_cds.fa.gz	bc4788d7a30bd7882861b30377aa6500281588974ff6031e74322cd59628b004	USER_DRIVE_URL_NOT_COMMITTED		Taxon, formal assembly accession and annotation version require user metadata.
XI_534M	534M (taxon unresolved)	XI	true	false	assembled_genome		chromosome		534M native	data/XI_534M/534M.fa.gz	7cd549b62deb10fc1325dcf983f79c69c82283d4376ff095d5eacc0b77f8b0bb	data/XI_534M/534M.gff3.gz	4314a337c3a8fef68e33afc5098a15973f865f0d932b5bda3dfc30a75d7d0102	data/XI_534M/534M_pep.fa.gz	9faebd920baac4f3f8028220686b25c0ac319813fa07ef819e051ef7a36ff37a	data/XI_534M/534M_cds.fa.gz	87d5e36c195460bed548a02fedb7028e2df0ec3fc2ea91e70f0846486d97a5ba	USER_DRIVE_URL_NOT_COMMITTED		Taxon, formal assembly accession and annotation version require user metadata.
